timestamp,bid_price,bid_qty,ask_price,ask_qty,mid_price,imbalance
1767691017,93495.61,7.25992,93495.62,0.48821,93495.61499999999,0.8739799151537211
1767691018,93495.61,6.6687,93495.62,1.43635,93495.61499999999,0.6455666528892481
1767691020,93495.61,6.4658,93495.62,2.35951,93495.61499999999,0.46528563869144535
1767691021,93495.61,7.99821,93495.62,1.6674,93495.61499999999,0.6549829757252775
1767691023,93495.61,7.9973,93495.62,1.62845,93495.61499999999,0.6616471443783601
1767691024,93495.61,6.49187,93495.62,1.92514,93495.61499999999,0.5425596500419982
1767691026,93495.61,6.48167,93495.62,2.67768,93495.61499999999,0.41531222193714623
1767691027,93495.61,8.01159,93495.62,0.71582,93495.61499999999,0.8359604968713512
1767691028,93495.61,7.03608,93495.62,0.91609,93495.61499999999,0.7695999959759412
1767691030,93497.91,8.52431,93497.92,1.26253,93497.91500000001,0.7419943515986774
1767691032,93497.91,8.03823,93497.92,0.89826,93497.91500000001,0.7989680512147387
1767691033,93497.91,5.77173,93497.92,2.73277,93497.91500000001,0.3573355282497501
1767691034,93497.91,5.77113,93497.92,2.03573,93497.91500000001,0.4784766218428408
1767691036,93497.91,5.76993,93497.92,2.03751,93497.91500000001,0.4780593895053948
1767691037,93497.91,7.20844,93497.92,1.59681,93497.91500000001,0.6373050168933306
1767691039,93497.91,7.20508,93497.92,1.30815,93497.91500000001,0.6926783371293855
1767691040,93497.91,5.71795,93497.92,2.65328,93497.91500000001,0.3660955439045397
1767691041,93497.91,5.7227,93497.92,2.13631,93497.91500000001,0.4563411931019301
1767691043,93497.91,6.20449,93497.92,1.08827,93497.91500000001,0.7015478364844038
1767691044,93497.91,4.88878,93497.92,1.52963,93497.91500000001,0.5233617048459042
1767691046,93497.91,4.95612,93497.92,1.52976,93497.91500000001,0.528279894170105
1767691047,93497.91,4.9621,93497.92,1.30011,93497.91500000001,0.5847759816422636
1767691048,93497.91,4.96262,93497.92,1.30262,93497.91500000001,0.5841755463477856
1767691050,93497.91,3.57772,93497.92,2.06045,93497.91500000001,0.2691068201207129
1767691051,93497.91,3.57205,93497.92,2.05523,93497.91500000001,0.26954763224861744
1767691052,93497.91,3.57753,93497.92,2.06618,93497.91500000001,0.2677937030782942
1767691054,93497.91,3.91541,93497.92,1.3157,93497.91500000001,0.4969710061535697
1767691055,93497.91,3.64515,93497.92,1.31703,93497.91500000001,0.4691728232349492
1767691057,93480.83,0.31145,93480.84,6.06246,93480.83499999999,-0.9022734867608737
1767691058,93480.83,1.10832,93480.84,4.85281,93480.83499999999,-0.6281510384776041
1767691060,93480.83,1.9642,93480.84,4.85073,93480.83499999999,-0.4235597430934728
1767691061,93480.83,5.4882,93480.84,0.68484,93480.83499999999,0.7781190466933633
1767691062,93480.83,3.44449,93480.84,2.84353,93480.83499999999,0.09557221510109704
1767691064,93480.83,3.25562,93480.84,2.60671,93480.83499999999,0.11069148273809216
1767691065,93480.83,3.01217,93480.84,2.90383,93480.83499999999,0.018313049357674045
1767691067,93464.5,7.06375,93464.51,1.34014,93464.505,0.6810667440911292
1767691068,93464.5,5.80672,93464.51,1.10331,93464.505,0.6806641939325877
1767691070,93464.5,7.29157,93464.51,1.10753,93464.505,0.736274124608589
1767691071,93464.5,7.9374,93464.51,0.00756,93464.505,0.9980969067182214
1767691072,93464.5,8.55282,93464.51,0.00525,93464.505,0.9987730878574258
1767691074,93464.5,8.48133,93464.51,0.63967,93464.505,0.8597368709571318
1767691075,93464.5,8.47636,93464.51,1.5043,93464.505,0.6985570092559009
1767691077,93464.5,8.37958,93464.51,0.74078,93464.505,0.8375546579301694
1767691078,93479.99,0.81592,93480.0,4.40156,93479.995,-0.6872359836549444
1767691079,93479.99,1.63426,93480.0,4.2252,93479.995,-0.44218067876562
1767691081,93479.99,1.71678,93480.0,4.40721,93479.995,-0.4393263215648621
1767691082,93479.99,3.07461,93480.0,3.49226,93479.995,-0.06359955351636322
1767691083,93479.99,3.25503,93480.0,2.88544,93479.995,0.060189203758018534
1767691085,93479.99,2.77429,93480.0,2.94575,93479.995,-0.029975314857938008
1767691086,93479.99,3.11573,93480.0,2.7684,93479.995,0.05902826756036999
1767691088,93479.99,4.69667,93480.0,1.98342,93479.995,0.4061696773546465
1767691089,93479.99,3.16815,93480.0,1.95116,93479.995,0.23772539658664935
1767691090,93479.99,4.63687,93480.0,2.64675,93479.995,0.2732322663730398
1767691092,93479.99,4.65756,93480.0,2.37714,93479.995,0.32416734189091223
1767691093,93479.99,4.31964,93480.0,3.18432,93479.995,0.15129611565093629
1767691095,93479.99,3.76209,93480.0,2.44715,93479.995,0.211771488942286
1767691096,93479.99,5.3856,93480.0,0.53167,93479.995,0.8202988878317197
1767691097,93479.99,5.38552,93480.0,0.43465,93479.995,0.8506401015777891
1767691099,93479.99,5.38499,93480.0,0.38243,93479.995,0.8673826424987255
1767691100,93479.99,5.3465,93480.0,0.45503,93479.995,0.8431344834897002
1767691101,93479.99,4.66344,93480.0,1.61277,93479.995,0.4860688217889458
1767691103,93479.99,4.53007,93480.0,3.00903,93479.995,0.20175352495655982
1767691104,93479.99,3.0526,93480.0,3.00788,93479.995,0.007378953482232409
1767691106,93479.99,1.06501,93480.0,3.47767,93479.995,-0.53110938917115
1767691107,93479.99,1.27238,93480.0,3.58665,93479.995,-0.47628230325805765
1767691108,93479.99,1.27599,93480.0,3.42525,93479.995,-0.45716874696888476
1767691110,93479.99,0.6414,93480.0,4.70346,93479.995,-0.7599937135865111
1767691111,93479.99,0.21433,93480.0,4.70589,93479.995,-0.9128778794444149
1767691113,93479.47,0.00179,93479.48,6.87577,93479.475,-0.9994794665549992
1767691114,93475.33,0.4552,93475.34,7.11816,93475.33499999999,-0.8797891556719871
1767691115,93475.33,0.65445,93475.34,7.11698,93475.33499999999,-0.8315753986074635
1767691117,93475.33,0.04126,93475.34,7.52945,93475.33499999999,-0.9891000976130375
